Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
53:40.2,4600.818181,0,4247.939394,0,4009.939394,0,4019.212121,0,4406.090909,0,4089.272727,0,4319.030303,0,4443.696969,0,5127.818181,0,4319.030303,0,4548.787878,0,4242.272727,0,4936.181818,0,4537.454545,0,42,42,?
53:40.2,4570.424242,0,4191.787878,0,4073.818181,0,4012,0,4288.636363,0,5419.393939,0,4327.272727,0,4445.757575,0,5099.484848,0,4341.181818,0,4523.030303,0,4231.454545,0,4902.181818,0,4548.272727,0,42,42,?
53:40.2,4570.424242,0,4191.787878,0,4073.818181,0,4012,0,4288.636363,0,5419.393939,0,4327.272727,0,4445.757575,0,5099.484848,0,4341.181818,0,4523.030303,0,4231.454545,0,4902.181818,0,4548.272727,0,42,42,?
53:40.2,4548.272727,0,4266.484848,0,4002.727272,0,3911.545454,0,4308.727272,0,5344.696969,0,4223.727272,0,4343.242424,0,4995.424242,0,4255.666666,0,4432.878787,0,4235.575757,0,4849.121212,0,4477.696969,0,42,42,?
53:40.2,4548.272727,0,4266.484848,0,4002.727272,0,3911.545454,0,4308.727272,0,5344.696969,0,4223.727272,0,4343.242424,0,4995.424242,0,4255.666666,0,4432.878787,0,4235.575757,0,4849.121212,0,4477.696969,0,42,42,?
53:40.2,4554.454545,0,4271.636363,0,4012,0,3925.969697,0,4327.272727,0,5355.515151,0,4242.787878,0,4360.757575,0,5019.121212,0,4275.757575,0,4445.757575,0,4236.090909,0,4856.848484,0,4483.363636,0,42,42,?
53:40.2,4556.515151,0,4251.030303,0,3979.030303,0,3930.090909,0,4323.666666,0,5354.999999,0,4242.272727,0,4358.181818,0,5012.939393,0,4269.060606,0,4448.848484,0,4227.333333,0,4854.787878,0,4495.212121,0,42,42,?
53:40.3,4551.878787,0,4245.363636,0,3998.090909,0,3952.242424,0,4331.393939,0,5369.424242,0,4251.545454,0,4370.030303,0,5018.090909,0,4270.60606,0,4456.060606,0,4230.939394,0,4857.878787,0,4494.181818,0,42,42,?
53:40.3,4552.393939,0,4267.515151,0,4002.727272,0,3934.727272,0,4317.484848,0,5357.575757,0,4235.060606,0,4356.121212,0,5003.151515,0,4239.696969,0,4438.030303,0,4236.090909,0,4848.090909,0,4479.757575,0,42,42,?
53:40.3,4560.121212,0,4262.878787,0,4007.363636,0,3929.060606,0,4325.212121,0,5365.30303,0,4250,0,4366.424242,0,5018.090909,0,4244.848484,0,4447.30303,0,4235.575757,0,4856.333333,0,4490.575757,0,42,42,?
53:40.3,4559.090909,0,4266.484848,0,3999.121212,0,3913.60606,0,4309.242424,0,5356.545454,0,4248.454545,0,4356.636363,0,5012.424242,0,4247.424242,0,4449.878787,0,4230.939394,0,4858.90909,0,4490.575757,0,42,42,?
53:40.3,4562.696969,0,4247.424242,0,4014.060606,0,3936.787878,0,4328.30303,0,5365.818181,0,4268.545454,0,4375.696969,0,5030.969696,0,4262.363636,0,4477.181818,0,4229.90909,0,4879.515151,0,4500.878787,0,42,42,?
53:40.3,4571.454545,0,4274.727272,0,3991.909091,0,3922.878787,0,4318,0,5346.242424,0,4240.212121,0,4362.30303,0,5010.363636,0,4241.757575,0,4475.636363,0,4241.242424,0,4891.363636,0,4500.363636,0,42,42,?
53:40.3,4568.363636,0,4256.696969,0,4002.212121,0,3931.121212,0,4326.757575,0,5353.454545,0,4228.878787,0,4362.30303,0,5009.333333,0,4253.60606,0,4469.454545,0,4238.151515,0,4875.393939,0,4502.939393,0,42,42,?
53:40.3,4570.424242,0,4251.545454,0,4014.060606,0,3946.575757,0,4340.151515,0,5374.060606,0,4256.181818,0,4379.818181,0,5032,0,4270.090909,0,4472.545454,0,4235.060606,0,4869.212121,0,4509.636363,0,42,42,?
53:40.3,4564.242424,0,4277.818181,0,3991.909091,0,3921.333333,0,4310.272727,0,5360.666666,0,4250,0,4361.272727,0,5010.878787,0,4245.878787,0,4457.090909,0,4235.060606,0,4868.181818,0,4496.757575,0,42,42,?
53:40.3,4556,2522.181818,4248.454545,0,4026.424242,0,3945.545454,0,4331.393939,0,5380.242424,0,4261.848484,0,4380.333333,0,5028.90909,0,4267.515151,0,4476.666666,0,4233.515151,0,4881.060606,0,4503.969697,0,42,42,?
53:40.3,4565.787878,2522.181818,4270.60606,828.3636363,3999.121212,0,3920.30303,0,4313.878787,0,5360.151515,0,4221.151515,0,4350.969697,0,5003.666666,0,4240.212121,0,4469.969697,0,4237.121212,0,4879.515151,0,4496.757575,0,42,42,?
53:40.3,4580.212121,2522.181818,4260.818181,828.3636363,3988.30303,0,3918.242424,0,4312.333333,0,5362.212121,0,4223.212121,0,4343.757575,0,4999.545454,0,4241.242424,0,4470.484848,0,4233,0,4873.848484,0,4499.333333,3070.30303,42,42,?
53:40.3,4583.30303,2522.181818,4255.666666,828.3636363,4011.484848,3849.212121,3942.969697,0,4327.272727,0,5377.151515,0,4261.848484,0,4377.757575,0,5030.454545,0,4275.242424,0,4482.333333,0,4235.575757,0,4875.393939,0,4516.333333,3070.30303,42,42,?
53:40.3,4564.757575,2522.181818,4279.878787,828.3636363,4003.757575,3849.212121,3922.878787,65.93939393,4305.121212,0,5351.393939,0,4240.727272,0,4360.757575,0,5011.393939,0,4242.787878,0,4460.181818,0,4235.575757,0,4864.060606,0,4496.757575,3070.30303,42,42,?
53:40.3,4560.121212,2522.181818,4245.878787,828.3636363,4033.121212,3849.212121,3947.090909,65.93939393,4338.60606,4112.969697,5383.333333,0,4264.939394,0,4383.424242,0,5030.969696,0,4247.424242,0,4478.727272,0,4231.454545,0,4871.787878,0,4491.090909,3070.30303,42,42,?
53:40.3,4564.757575,2522.181818,4268.030303,828.3636363,3988.818181,3849.212121,3924.424242,65.93939393,4306.666666,4112.969697,5370.454545,3667.878788,4247.939394,3020.848485,4355.090909,0,4998.515151,0,4235.060606,0,4452.454545,0,4234.545454,0,4850.666666,0,4479.242424,3070.30303,42,42,?
53:40.3,4564.757575,2522.181818,4262.363636,828.3636363,3962.030303,3849.212121,3911.545454,65.93939393,4306.666666,4112.969697,5370.454545,3667.878788,4247.939394,3020.848485,4355.090909,0,4998.515151,0,4235.060606,0,4452.454545,0,4234.545454,0,4850.666666,0,4479.242424,3070.30303,42,42,?
53:40.3,4556,2522.181818,4272.151515,828.3636363,3971.818181,3849.212121,3903.30303,65.93939393,4294.818181,4112.969697,5364.787878,3667.878788,4225.787878,3020.848485,4333.454545,2897.212121,4982.545454,2645.818182,4225.787878,0,4444.727272,0,4234.545454,0,4845,0,4466.363636,3070.30303,42,42,?
53:40.3,4556,2522.181818,4272.151515,828.3636363,3971.818181,3849.212121,3903.30303,65.93939393,4294.818181,4112.969697,5364.787878,3667.878788,4225.787878,3020.848485,4333.454545,2897.212121,4982.545454,2645.818182,4225.787878,0,4444.727272,0,4234.545454,0,4845,0,4466.363636,3070.30303,42,42,?
53:40.4,4550.848484,2522.181818,4247.939394,828.3636363,3985.212121,3849.212121,3919.272727,65.93939393,4310.787878,4112.969697,5392.090909,3667.878788,4241.757575,3020.848485,4350.454545,2897.212121,5001.60606,2645.818182,4244.848484,3457.696969,4459.151515,0,4232.484848,0,4853.242424,0,4476.666666,3070.30303,42,42,?
53:40.4,4562.181818,2522.181818,4270.090909,828.3636363,3986.757575,3849.212121,3911.545454,65.93939393,4304.090909,4112.969697,5384.363636,3667.878788,4220.121212,3020.848485,4342.727272,2897.212121,4996.969696,2645.818182,4238.666666,3457.696969,4466.878787,3329.939394,4236.60606,0,4863.545454,0,4484.393939,3070.30303,42,42,?
53:40.4,4567.333333,2522.181818,4267,828.3636363,3983.666666,3849.212121,3910,65.93939393,4296.363636,4112.969697,5378.696969,3667.878788,4204.151515,3020.848485,4329.333333,2897.212121,4990.272727,2645.818182,4228.878787,3457.696969,4466.878787,3329.939394,4232.484848,4.121212121,4861.484848,0,4486.969697,3070.30303,42,42,?
53:40.4,4560.636363,2522.181818,4276.787878,828.3636363,3985.212121,3849.212121,3908.969697,65.93939393,4298.939394,4112.969697,5401.363636,3667.878788,4223.727272,3020.848485,4340.151515,2897.212121,4984.60606,2645.818182,4237.121212,3449.454545,4456.575757,3329.939394,4233.515151,4.121212121,4854.787878,2303.757576,4477.181818,3070.30303,42,42,?
