Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-08-01 19:34:38.699428,4558.57575712,0,4146.45454504,0,3907.42424203,0,3827.06060568,0,4258.75757533,0,4470.99999955,0,4174.78787837,0,4308.7272723,0,4949.57575708,0,4198.48484806,0,4443.69696925,0,4243.30302988,0,4878.484848,0,4493.66666622,0,42.0,42.0,?
2017-08-01 19:34:38.700230,4528.18181773,0,4125.33333292,0,3879.60606022,0,3863.63636325,0,4253.09090867,0,4473.06060561,0,4169.63636322,0,4330.87878745,0,4953.6969692,0,4166.03030261,0,4424.63636319,0,4196.93939352,0,4855.81818133,0,4460.69696925,0,42.0,42.0,?
2017-08-01 19:34:38.703817,4527.1515147,0,4124.81818141,0,3878.06060567,0,3852.81818143,0,4251.54545412,0,4466.87878743,0,4162.42424201,0,4320.57575714,0,4948.03030254,0,4158.30302989,0,4415.87878744,0,4196.424242,0,4851.1818177,0,4457.60606016,0,42.0,42.0,?
2017-08-01 19:34:38.706981,4530.7575753,0,4121.2121208,0,3883.72727234,0,3810.06060568,0,4257.7272723,0,4468.93939349,0,4165.5151511,0,4314.90909048,0,4939.27272678,0,4152.63636322,0,4415.36363592,0,4195.39393897,0,4852.72727224,0,4459.15151471,0,42.0,42.0,?
2017-08-01 19:34:38.710508,4530.7575753,0,4122.24242383,0,3882.69696931,0,3828.60606022,0,4262.87878745,0,4476.66666622,0,4172.72727231,0,4325.21212078,0,4949.57575708,0,4153.15151474,0,4423.09090865,0,4191.78787837,0,4857.87878739,0,4464.30302986,0,42.0,42.0,?
2017-08-01 19:34:38.718549,4525.09090864,0,4124.30302989,0,3875.99999961,0,3879.0909087,0,4259.27272685,0,4474.09090864,0,4169.1212117,0,4327.27272684,0,4956.78787829,0,4161.90909049,0,4421.5454541,0,4191.78787837,0,4855.81818133,0,4461.21212077,0,42.0,42.0,?
2017-08-01 19:34:38.723583,4526.12121167,0,4122.75757535,0,3874.45454507,0,3856.42424204,0,4253.60606018,0,4468.42424198,0,4162.93939352,0,4318.51515108,0,4941.33333284,0,4167.57575716,0,4413.30302986,0,4194.87878746,0,4852.72727224,0,4452.96969652,0,42.0,42.0,?
2017-08-01 19:34:38.727468,4530.7575753,0,4122.75757535,0,3878.06060567,0,3821.39393901,0,4254.63636321,0,4469.45454501,0,4162.93939352,0,4315.93939351,0,4933.0909086,0,4160.87878746,0,4413.30302986,0,4195.39393897,0,4855.30302982,0,4453.48484804,0,42.0,42.0,?
2017-08-01 19:34:38.729970,4529.21212076,0,4124.81818141,0,3880.63636325,0,3834.27272689,0,4256.69696927,0,4470.99999955,0,4161.90909049,0,4321.09090866,0,4945.45454496,0,4158.8181814,0,4416.90909047,0,4193.84848443,0,4854.27272679,0,4458.63636319,0,42.0,42.0,?
2017-08-01 19:34:38.732740,4526.12121167,0,4123.27272686,0,3882.69696931,0,3854.87878749,0,4255.66666624,0,4471.51515107,0,4159.84848443,0,4323.15151472,0,4953.6969692,0,4170.15151473,0,4418.96969653,0,4194.36363594,0,4852.21212073,0,4459.66666622,0,42.0,42.0,?
2017-08-01 19:34:38.737144,4526.63636318,0,4122.75757535,0,3884.24242385,0,3846.12121174,0,4259.27272685,0,4475.12121167,0,4165.5151511,0,4327.27272684,0,4954.21212072,0,4175.8181814,0,4421.03030259,0,4196.93939352,0,4853.75757527,0,4461.72727228,0,42.0,42.0,?
2017-08-01 19:34:38.740056,4531.27272682,3004.36363606,4125.84848444,0,3882.69696931,0,3833.24242386,0,4266.48484806,0,4476.1515147,0,4173.75757534,0,4334.99999957,0,4958.33333284,0,4169.63636322,0,4422.06060562,0,4196.93939352,0,4857.36363588,0,4463.78787834,0,42.0,42.0,?
2017-08-01 19:34:38.744973,4533.8484844,3004.36363606,4123.27272686,0.0,3883.72727234,0,3840.45454507,0,4265.45454503,0,4477.69696925,0,4176.84848443,0,4334.48484805,0,4961.42424193,0,4173.24242383,0,4424.63636319,0,4195.39393897,0,4858.39393891,0,4462.2424238,0,42.0,42.0,?
2017-08-01 19:34:38.747654,4530.7575753,3004.36363606,4122.24242383,0.0,3886.81818143,0,3869.81818143,0,4263.90909048,0,4480.78787834,0,4173.75757534,0,4330.87878745,0,4960.90909041,0,4186.1212117,0,4428.75757531,0,4195.39393897,0,4856.84848436,0,4462.2424238,90.6666666576,42.0,42.0,?
2017-08-01 19:34:38.752442,4528.18181773,3004.36363606,4125.33333292,0.0,3882.18181779,3494.78787844,3897.12121173,0,4263.90909048,0,4477.69696925,0,4167.57575716,0,4330.87878745,0,4966.57575708,0,4185.09090867,0,4425.66666622,0,4192.8181814,0,4854.7878783,0,4463.27272683,90.6666666576,42.0,42.0,?
2017-08-01 19:34:38.755393,4531.27272682,3004.36363606,4123.78787838,0.0,3878.06060567,3494.78787844,3863.12121173,164.848484832,4261.84848442,0,4473.57575713,0,4165.5151511,0,4331.39393896,0,4969.15151465,0,4176.33333292,0,4423.09090865,0,4192.30302988,0,4854.7878783,0,4458.63636319,90.6666666576,42.0,42.0,?
2017-08-01 19:34:38.758721,4533.33333288,3004.36363606,4121.72727232,0.0,3879.60606022,3494.78787844,3816.24242386,164.848484832,4260.81818139,4063.51515111,4476.66666622,0,4166.54545413,0,4330.36363593,0,4954.21212072,0,4175.30302989,0,4425.66666622,0,4195.39393897,0,4854.27272679,0,4456.06060561,90.6666666576,42.0,42.0,?
2017-08-01 19:34:38.764264,4530.24242379,3004.36363606,4123.27272686,0.0,3881.15151476,3494.78787844,3832.72727234,164.848484832,4261.33333291,4063.51515111,4476.66666622,3750.30302993,4162.93939352,0,4327.27272684,0,4943.90909041,0,4174.27272686,0,4424.12121168,0,4192.30302988,0,4852.72727224,0,4457.60606016,90.6666666576,42.0,42.0,?
